cop_name,sample_size,iteration,true_param,true_tau,AIC_clayton,AIC_gumbel,AIC_joe,AIC_frank,AIC_gaussian,xv1_clayton,xv1_gumbel,xv1_joe,xv1_frank,xv1_gaussian,xv_CIC_clayton,xv_CIC_gumbel,xv_CIC_joe,xv_CIC_frank,xv_CIC_gaussian,xvK_2_clayton,xvK_2_gumbel,xvK_2_joe,xvK_2_frank,xvK_2_gaussian,xvK_5_clayton,xvK_5_gumbel,xvK_5_joe,xvK_5_frank,xvK_5_gaussian,xvK_10_clayton,xvK_10_gumbel,xvK_10_joe,xvK_10_frank,xvK_10_gaussian,xvK_n:logn_clayton,xvK_n:logn_gumbel,xvK_n:logn_joe,xvK_n:logn_frank,xvK_n:logn_gaussian,xvK_n05_clayton,xvK_n05_gumbel,xvK_n05_joe,xvK_n05_frank,xvK_n05_gaussian,xvK_n05:logn_clayton,xvK_n05:logn_gumbel,xvK_n05:logn_joe,xvK_n05:logn_frank,xvK_n05:logn_gaussian,xvK_n:2_clayton,xvK_n:2_gumbel,xvK_n:2_joe,xvK_n:2_frank,xvK_n:2_gaussian
clayton,100,1,2,0.5,71.7127408736046,26.0546646209975,8.11612756685093,45.8928812027356,41.1396198587931,36.4924013995176,13.8950076207882,5.01577111045086,23.7131632526138,21.3632315944484,70.4828745986332,27.5687471251868,8.637173982308,45.7994737814688,42.5014488385659,0.357491287929557,0.136270928897822,0.0417749127665431,0.238566096215428,0.214518050057508,0.353490310695951,0.0716395202031607,-0.0211288640263458,0.197372307022017,0.126769612617786,0.356734071915579,0.12686816790416,0.0377201675227705,0.227605199775011,0.201755995759265,0.356733954450251,0.120960389861982,0.0336043918967635,0.222997566207518,0.196133314512911,0.359259181691195,0.114868676389517,0.0233061642470332,0.222702460256278,0.176139551925351,0.364664418791849,0.13866172373274,0.0428962745969614,0.238978811452582,0.207835809331589,0.3601928797079,0.1238674961782,0.0340942680295587,0.227043794817047,0.197810792731877
clayton,100,2,2,0.5,109.674703017333,60.4383435153572,35.5966555350128,74.416083894669,78.1340952251549,55.2846774116575,30.9147946274359,18.6184052477789,37.8325819512476,39.6734857469754,111.502682890566,62.2831514808109,35.7749574954546,73.9871028446871,80.4881745922507,0.541189582522853,0.300258583950719,0.183580257142319,0.343940351548255,0.387604323055828,0.523215978850207,0.274704173244678,0.152014176305395,0.345464999661226,0.37292355795986,0.551956943149427,0.299931058350641,0.174533891104873,0.376724364049641,0.392106494739032,0.549445819404701,0.304981574872529,0.180443903882657,0.371421910364316,0.392721358803238,0.550951704893724,0.304168824126339,0.181016065282528,0.371842870170219,0.387332332700221,0.557119260202863,0.231985913094517,0.0899137107144569,0.368564506261265,0.352759556501248,0.544268675034892,0.291898171585516,0.166339523829277,0.365919558519043,0.382230952622048
clayton,100,3,2,0.5,78.4293013583277,75.0226945340383,53.5833528414908,92.2162860042575,88.4446100301622,39.8210607445972,38.1320861246506,27.52123038427,46.6412992887591,44.7763148003767,71.0447903496838,75.6943961424342,53.5555272243923,92.5516141875493,87.2164836012889,0.379399504317717,0.379901311095671,0.261626645133603,0.47072297228868,0.452179730681231,0.389351485471329,0.364408376227538,0.241735984901722,0.46642308912621,0.442928047767472,0.377951264712066,0.368638316344034,0.257902311844261,0.459808739624542,0.434507399478973,0.364642955782769,0.375919398226426,0.267099195577652,0.463084766000021,0.438751335784187,0.389695499590532,0.371166009557892,0.255091572293892,0.465353384016199,0.441493472658192,0.325404948574592,0.379135494070559,0.244792340838754,0.460871807080836,0.451325359604275,0.384623810728969,0.371910856788081,0.261752255462969,0.461622369197508,0.438668071893438
clayton,100,4,2,0.5,78.7941562186554,37.8324525496762,18.0581921616705,56.2527731535789,57.0784140666981,39.9988730610086,19.723101775759,9.93525541896739,28.8398404849835,29.2493172048361,78.9512278157647,39.8837480131753,18.9757734925319,56.5091975378943,59.5374732795856,0.394846841691068,0.199001233859338,0.10028077660324,0.290740565455048,0.288608885153441,0.403885458688537,0.18556307927281,0.0866047751881408,0.281848207114614,0.289041921850089,0.398679554271773,0.187742218429502,0.088752797686905,0.283720340512392,0.28734003019685,0.39582983403107,0.184007005536508,0.0816477919352791,0.282723615247335,0.283083176299332,0.389953115787767,0.189349296577408,0.0873025120289379,0.286027170718284,0.286595883623383,0.403809578839734,0.192845936772843,0.0879343880710655,0.286971064009756,0.291781806650883,0.393938337853807,0.188882567111559,0.0890333189952622,0.282976476025169,0.285979074828106
clayton,100,5,2,0.5,79.9104186197778,44.5914441788034,23.1683127188678,64.7067602839582,61.9897233379373,40.5512470349807,23.0694308419995,12.4653041887507,33.0256371106601,31.682672652674,78.1834094852225,46.3579715183974,23.9771195431659,64.64827013019,63.3233688378695,0.409054789245111,0.199939799000356,0.0895084002229214,0.320098084546896,0.281176120857573,0.405231544956118,0.221625484270164,0.11308428786,0.320054136351216,0.304275992888423,0.39681741213768,0.215166678593541,0.1071294260674,0.320294003211482,0.300370456261098,0.395587063564872,0.220613916335004,0.112154182597057,0.323565057809004,0.305207229163275,0.394004294409815,0.210211940492411,0.106019130368182,0.311303874991011,0.293023053660953,0.404421424404036,0.223890400603923,0.107991295566627,0.333498006411724,0.314510813746058,0.398852585001844,0.22131171648916,0.11325713606301,0.324482296931356,0.306533024996552
clayton,100,6,2,0.5,62.3571640558081,42.3577266585367,25.6567031829867,51.7026319903565,55.1123224945911,31.8614027226451,21.963158503349,13.6972312594931,26.5875724914088,28.2766228502268,61.5586097178718,43.8921516265428,26.2303084682845,51.903290142467,56.5763153160863,0.314021673053171,0.221206821985954,0.138212010583225,0.265757348142144,0.282775897400361,0.296924043850822,0.198592314941333,0.0921784337697766,0.261099484122469,0.268996729847578,0.314569129277157,0.207798083048423,0.122152345256509,0.255751765214667,0.274386489510846,0.310706815163196,0.21523127920393,0.131042890515875,0.260070623085492,0.278185804492698,0.312622201387685,0.20805248760571,0.123092583728088,0.257981445611036,0.273080629251126,0.30277665734817,0.221309198669404,0.138256102142941,0.262271964636919,0.277709135283629,0.314188846394729,0.212214978897881,0.12754842983881,0.261219127066363,0.275961630308921
clayton,100,7,2,0.5,99.8277716772853,45.3533825893879,22.8826857277835,61.694374213094,62.0874132987292,50.4111286206438,23.4480095302771,12.3252166387115,31.5349580559642,31.7322914978321,100.523995347089,47.0261283450005,23.24600536509,61.4443926105311,63.9001187695992,0.503320870293286,0.236725052086928,0.124173840724453,0.318390597805396,0.31855535056218,0.501575599942501,0.22120295552416,0.104327402251448,0.310510065665082,0.300390979445036,0.486616541166385,0.21860254672454,0.104911043898247,0.303788677526918,0.298646680090093,0.495422684376991,0.219483427312774,0.106537465467539,0.306840194659697,0.301235754634767,0.493559919640298,0.204705232111084,0.0846301379772368,0.301973634853694,0.281256107828822,0.484876019328545,0.202346137483761,0.0893551594309115,0.301058822424587,0.307979076125606,0.493576914126447,0.218951182472455,0.107633611155175,0.303903387269945,0.297449144543484
clayton,100,8,2,0.5,88.4731058449031,42.0265893658621,19.9473976716776,63.5444161984154,62.9474461966429,44.7891937265567,21.7997357151865,10.8709679565822,32.449485577653,32.1554060869025,84.8824468897455,44.0161794918251,20.8910515242464,63.7495795633743,65.0640809578384,0.446193888490551,0.208974022861464,0.0925042826180895,0.327652432414982,0.318492047795982,0.440057454210919,0.176200781502874,0.0683117416603066,0.285874487216544,0.284210772016973,0.432432392210044,0.210107660620087,0.101546098043184,0.315422424524587,0.313587161126393,0.436381050189572,0.215030337031633,0.104243621414652,0.320532252264699,0.318568336797873,0.446443188940196,0.203115954836107,0.0940793103097767,0.315144428914454,0.311123800519673,0.449500575092545,0.176331610842884,0.0583513969612036,0.309994197822367,0.285422693648199,0.445165232423478,0.206691869390487,0.0951835903984214,0.319010098647805,0.312556727496761
clayton,100,9,2,0.5,83.2120188181817,33.908489239473,14.0031376060852,53.358021370011,52.6544197120403,42.1843623319222,17.7813960868358,7.92850358084651,27.4073327897691,27.0612388950522,82.7193389859359,35.9466585327361,14.9400067272032,53.5780608554003,54.8347236393999,0.359404558857722,0.147368894531934,0.0637697222771862,0.232496596823735,0.209116052199031,0.418681076436976,0.166006853921426,0.0685048410191342,0.263218467619317,0.259933918497894,0.420072982537039,0.173140717245216,0.0724482624292157,0.269864399450808,0.264430029479328,0.413632946871546,0.165035144984955,0.064655525434443,0.262583571579341,0.253915094840632,0.416868960451426,0.170691876667643,0.0700895035788814,0.26823159262384,0.261113156203961,0.422025397107932,0.143628370899518,0.0377012217571325,0.267476895666782,0.212134560374173,0.416534446713864,0.166037322394555,0.0668065200931672,0.265005864690854,0.258897982411375
clayton,100,10,2,0.5,75.2591824943597,55.4431239627845,35.4809657440373,62.2597424819151,61.7559216013505,38.2479203742468,28.4434489920461,18.5637346434987,31.8152682302515,31.5699453839314,73.7665691324554,55.9316696985975,34.4634638216473,61.7964638806952,61.8580609100775,0.35544738197064,0.284232477188045,0.179564484828762,0.319913816782561,0.31571439008729,0.382413676067069,0.2761011954065,0.171549359805215,0.317101899779662,0.311379925076511,0.381594286438262,0.275524184496849,0.169897261563246,0.317130445806892,0.307431925547459,0.380328544041221,0.273358247965619,0.17140938406055,0.312424047037961,0.300745053172066,0.377187573455229,0.270159775194281,0.170763088586189,0.303009930587116,0.296182272731899,0.373603237262501,0.228452977442239,0.124698589920859,0.275637107713809,0.259498035894573,0.376296169207258,0.266034677235947,0.163331820608099,0.304605818015903,0.291888629518798
