cop_name,sample_size,iteration,true_param,true_tau,AIC_clayton,AIC_gumbel,AIC_joe,AIC_frank,AIC_gaussian,xv1_clayton,xv1_gumbel,xv1_joe,xv1_frank,xv1_gaussian,xv_CIC_clayton,xv_CIC_gumbel,xv_CIC_joe,xv_CIC_frank,xv_CIC_gaussian,xvK_2_clayton,xvK_2_gumbel,xvK_2_joe,xvK_2_frank,xvK_2_gaussian,xvK_5_clayton,xvK_5_gumbel,xvK_5_joe,xvK_5_frank,xvK_5_gaussian,xvK_10_clayton,xvK_10_gumbel,xvK_10_joe,xvK_10_frank,xvK_10_gaussian,xvK_n:logn_clayton,xvK_n:logn_gumbel,xvK_n:logn_joe,xvK_n:logn_frank,xvK_n:logn_gaussian,xvK_n05_clayton,xvK_n05_gumbel,xvK_n05_joe,xvK_n05_frank,xvK_n05_gaussian,xvK_n05:logn_clayton,xvK_n05:logn_gumbel,xvK_n05:logn_joe,xvK_n05:logn_frank,xvK_n05:logn_gaussian,xvK_n:2_clayton,xvK_n:2_gumbel,xvK_n:2_joe,xvK_n:2_frank,xvK_n:2_gaussian
gaussian,400,1,0.707106781186547,0.5,227.896155510421,250.221013411817,190.460411565864,259.975872722995,278.127141665083,114.66221468224,125.796546416485,95.9913046004549,130.661532388236,139.714747442033,226.115033072702,252.47031572114,190.844028915228,260.238981738976,279.777113154842,0.287158974531978,0.315102682173882,0.239882762279926,0.326511612532707,0.349919984806479,0.284982777083005,0.313896044356626,0.237913337591551,0.325993691133756,0.349309539447966,0.283919688649862,0.311248814563385,0.235708759967539,0.324746036640058,0.346094789328199,0.28477720880408,0.31187246110359,0.235718017436988,0.325335374061034,0.346915897280605,0.285527846025164,0.31349633854178,0.238647663101665,0.325161302330527,0.348151124867423,0.286406513163553,0.310510079691064,0.234907001843894,0.322616882450668,0.345458372129571,0.284805240526939,0.312820342878369,0.237396339206169,0.325491558169425,0.347740557348486
gaussian,400,2,0.707106781186547,0.5,203.752820259208,250.90643272215,197.396503961563,255.168216765523,275.575037605286,102.620922837498,126.138155550496,99.4502585486983,128.263828734497,138.441918090784,195.4157446056,252.159083837017,198.396519605743,255.247832679369,274.073597752797,0.254497175660503,0.314115102041978,0.249244996671977,0.304590220853935,0.336349928822148,0.25283196701571,0.313785214508249,0.247346215240917,0.31709807844786,0.341587014496332,0.254464046687896,0.313780556279038,0.246442475393166,0.318771738721632,0.3442514332722,0.254756294660904,0.314298520757579,0.246970617852362,0.319907879220258,0.344841447530224,0.251817519272328,0.313502996894647,0.246275650736993,0.318834649231215,0.343653710930191,0.257069674555352,0.313610060195118,0.246154969351284,0.318425023839264,0.344414978497626,0.253640209557959,0.313889823621531,0.246555496814533,0.319136727743493,0.344189166765024
gaussian,400,3,0.707106781186547,0.5,238.331346222905,277.192769800493,213.305013107403,287.708640867658,307.124014806717,119.866942864637,139.248661100936,107.384898901489,144.493500294516,154.177001149325,228.104980599729,278.663030094848,213.960870979052,287.613934618711,306.519620743942,0.299265493592537,0.348441363383437,0.266767408712743,0.361922945295698,0.386301099244039,0.297971889222535,0.348230176024086,0.268571090080086,0.360530704506529,0.384537199521339,0.298578097104984,0.344292564434139,0.263854606013294,0.358760769391559,0.38204959749618,0.297356236720468,0.347578559233055,0.266965396788156,0.36029866382961,0.384792758624504,0.298350003838881,0.346888441735352,0.265928913580641,0.360008817652626,0.385309355336686,0.28979556753366,0.344848119806038,0.265050388418917,0.35884614608412,0.380226863219837,0.296840052828239,0.346714184787412,0.26641008704288,0.35968504381236,0.383781180645949
gaussian,400,4,0.707106781186547,0.5,187.943012090163,259.751712956301,212.427601157825,273.972999279695,275.856955088966,94.7361776254814,130.549815684768,106.947177766295,137.64274429141,138.582593828287,183.02636755849,261.28192274528,213.376652905745,273.934117602604,274.977863595133,0.230517464143126,0.324689091933735,0.267394337152967,0.340451050982227,0.342320928107524,0.228123276147249,0.319861784584912,0.261187555594041,0.340631968349061,0.338993278472778,0.23640300836236,0.326331568283998,0.266715459207725,0.343459798727702,0.346016334061922,0.23227836126558,0.324936053271244,0.265459490468155,0.34231986972726,0.344042849125096,0.233928258191662,0.325908027036925,0.266041132775385,0.342890259300831,0.345551300439575,0.220339591497369,0.32185302890367,0.265025135279423,0.329370953983617,0.333705130554496,0.233272841620045,0.325107840677217,0.265323256057884,0.342829191287832,0.344567955548788
gaussian,400,5,0.707106781186547,0.5,188.488151218055,263.59689934636,214.54857515899,271.754716514297,280.709195235811,95.0075695269454,132.46762551296,108.005160721446,136.536302515504,141.002550399993,178.908108889299,264.066454735861,215.13829649173,271.870718916301,278.122343672348,0.235446519841685,0.331513090405245,0.270271716945986,0.342185641479328,0.353381485577191,0.235535961033312,0.330975438266065,0.268232462401917,0.339473724174435,0.351327642015204,0.23580840145818,0.329423505107958,0.267131378573542,0.339429181925547,0.350370135992307,0.235438011724485,0.329905121816421,0.268041094421888,0.340377704203756,0.350992707433762,0.235347971963914,0.329527968723568,0.266780862614309,0.340415535375984,0.351077389690116,0.234487557140129,0.327302696518484,0.265776743945323,0.339743204427031,0.347270660081103,0.234800815006578,0.329508219040335,0.267390055069166,0.339846233309631,0.350533733480066
gaussian,400,6,0.707106781186547,0.5,248.736989246292,271.265289293829,202.591750455836,297.245587076233,317.203215953583,125.056664559607,136.292195615933,102.04154833173,149.249876653052,159.203686646815,240.031389815175,273.177261501547,203.605409428835,297.379025090195,317.162975600393,0.305381291806536,0.338741793498473,0.253743135732657,0.368646985431464,0.394590604850659,0.311051136881877,0.339243899160512,0.253076882228551,0.372388666521505,0.396664673762377,0.310826412175453,0.340272062462271,0.254342450913216,0.373160307271628,0.39742359283477,0.310035975129688,0.339288686354136,0.253101953745346,0.371232923535009,0.396509017163124,0.309228749385421,0.340027576650093,0.253251017556465,0.372570469010489,0.397778901428297,0.308971730365013,0.341101896059537,0.254738544527177,0.373757822135923,0.398617247564248,0.310526883988094,0.339332535507596,0.252898554867924,0.371805431610295,0.396871642335647
gaussian,400,7,0.707106781186547,0.5,171.7280690503,200.47769692538,155.700226819311,200.241850918259,222.74667625629,86.6482487969013,100.986910414355,78.6543274314679,100.869343745569,112.093640501379,169.718439029949,202.450203160818,156.493638326231,200.252214198822,223.997640528857,0.208587002453295,0.234716745215531,0.181227671186765,0.233775215145321,0.265700389605352,0.216513415306156,0.251873047892761,0.195751139718788,0.250220454159568,0.279628164381686,0.213528762834219,0.250845271648362,0.194631991835355,0.250256071432934,0.278736286362262,0.215089077320508,0.251006434051521,0.194363244999879,0.250877207558903,0.278914445896161,0.214264513512705,0.250777663989828,0.194629728383608,0.250471827659781,0.278168480708517,0.21621351187565,0.252124989873783,0.196518946639599,0.250988111461751,0.279824849256537,0.214231115337929,0.250719169162039,0.194364945776071,0.250147609963745,0.278374355169813
gaussian,400,8,0.707106781186547,0.5,212.963259314601,291.459714264104,244.113506098025,266.319321164654,303.740895498285,107.214461299432,146.364033035773,122.750222866171,133.825430056176,152.489404433761,206.598739421968,293.214415993793,244.856109601867,266.353537336075,303.966892721547,0.268644929517775,0.359070991394086,0.296123437198728,0.324079727493538,0.379013450136835,0.265918754180793,0.365748941657742,0.306661166610831,0.333681222701808,0.380851431863786,0.266766323214177,0.365871712472882,0.3069350109775,0.33312456013871,0.380447065933924,0.265342248313736,0.365100612191784,0.305939754317681,0.332851205833298,0.379742830892132,0.265713406695871,0.36397435483244,0.305019436145546,0.33199671955232,0.378626014279325,0.266999139718357,0.359629104833616,0.300121347648154,0.328860895424747,0.377223649127677,0.265616592493973,0.364748091697359,0.305422844734625,0.332932544899407,0.379757261288465
gaussian,400,9,0.707106781186547,0.5,183.342394676677,212.65949908742,160.508182618424,232.557892474942,247.143619001535,92.4407260152141,107.062537303934,81.0523912838532,116.986778198262,124.261503433336,177.182698323079,214.338942275224,161.506431755694,232.837709454227,247.39603964719,0.230792674982036,0.267985356014029,0.20313254116827,0.291043959800221,0.310139352025597,0.229976752555965,0.264214466101461,0.198354912600824,0.289266921977906,0.307429423190079,0.230397379082433,0.266173305883675,0.199772275147863,0.29172980688086,0.309589251863868,0.229061288673112,0.265854709018703,0.200302037920118,0.290764964946779,0.308870472871695,0.229654195943271,0.266754417158044,0.200889118469048,0.290880597834066,0.309821880725167,0.231295540563338,0.266891733397256,0.201392174615412,0.292326163559411,0.311353263535396,0.229539194656125,0.266464817877105,0.20061810483394,0.291403608193542,0.309498363088457
gaussian,400,10,0.707106781186547,0.5,244.854684584176,303.26878977362,244.590556002789,295.356352801726,330.885495725594,123.120184759829,152.253934395895,122.988521436513,148.307572296073,166.027732734605,239.194063891857,305.27758809775,245.252771938756,295.512165332742,331.248052337311,0.307842673469986,0.379186841958613,0.303127310054687,0.371437068844833,0.415768007135359,0.306788195935147,0.379911501946985,0.303724885086666,0.370238186177709,0.415102332594677,0.304823851203182,0.379310115103843,0.304905748311297,0.369345129738236,0.413681658135057,0.305738464766991,0.378917646708371,0.304709547636047,0.36936859088826,0.413633275566451,0.304866420961173,0.379662312262603,0.305141090752653,0.369664130985464,0.413860470733138,0.308404536172095,0.378620151107778,0.302447101477227,0.36812670876903,0.414094613696681,0.305965075229382,0.37942923578625,0.305351705010237,0.369561229138478,0.414066939694277
